sku,title,price_krw,category,stock,status
SKU-001,Product 001,10250,Apparel,7,active
SKU-002,Product 002,10500,Home,14,active
SKU-003,Product 003,10750,Beauty,21,active
SKU-004,Product 004,11000,Sports,28,active
SKU-005,Product 005,11250,Stationery,35,active
SKU-006,Product 006,11500,Apparel,1,active
SKU-007,Product 007,11750,Home,8,active
SKU-008,Product 008,12000,Beauty,15,active
SKU-009, Product 009 ,12250,Sports,22,active
SKU-010,Product 010,12500,Stationery,29,active
SKU-011,Product 011,12750,Apparel,36,paused
SKU-012,Product 012,13000,Home,2,active
SKU-013,Product 013,13250,Beauty,9,active
SKU-014,Product 014,13500,Sports,16,active
SKU-015,Product 015,13750,Stationery,23,active
SKU-016,Product 016,14000,Apparel,30,active
SKU-017,Product 017,14250,Home,37,active
SKU-018, Product 018 ,14500,Beauty,3,active
SKU-019,Product 019,14750,Sports,10,active
SKU-020,Product 020,15000,Stationery,17,active
SKU-021,Product 021,15250,Apparel,24,active
SKU-022,Product 022,15500,Home,31,paused
SKU-023,Product 023,15750,Beauty,38,active
SKU-024,Product 024,16000,Sports,4,active
SKU-025,Product 025,16250,Stationery,11,active
SKU-026,Product 026,16500,Apparel,18,active
SKU-027, Product 027 ,16750,Home,25,active
SKU-028,Product 028,17000,Beauty,32,active
SKU-029,Product 029,17250,Sports,39,active
SKU-030,Product 030,17500,Stationery,5,active
SKU-031,Product 031,17750,Apparel,12,active
SKU-032,Product 032,18000,Home,19,active
SKU-033,Product 033,18250,Beauty,26,paused
SKU-034,Product 034,18500,Sports,33,active
SKU-035,Product 035,18750,Stationery,40,active
SKU-036, Product 036 ,19000,Apparel,6,active
SKU-037,Product 037,19250,Home,13,active
SKU-038,Product 038,19500,Beauty,20,active
SKU-039,Product 039,19750,Sports,27,active
SKU-040,Product 040,20000,Stationery,34,active
SKU-041,Product 041,20250,Apparel,0,active
SKU-042,Product 042,20500,Home,7,active
SKU-043,Product 043,20750,Beauty,14,active
SKU-044,Product 044,21000,Sports,21,paused
SKU-045, Product 045 ,21250,Stationery,28,active
SKU-046,Product 046,21500,Apparel,35,active
SKU-047,Product 047,21750,Home,1,active
SKU-048,Product 048,22000,Beauty,8,active
SKU-049,Product 049,22250,Sports,15,active
SKU-050,Product 050,22500,Stationery,22,active
SKU-051,Product 051,22750,Apparel,29,active
SKU-052,Product 052,23000,Home,36,active
SKU-053,Product 053,23250,Beauty,2,active
SKU-054, Product 054 ,23500,Sports,9,active
SKU-055,Product 055,23750,Stationery,16,paused
SKU-056,Product 056,24000,Apparel,23,active
SKU-057,Product 057,24250,Home,30,active
SKU-058,Product 058,24500,Beauty,37,active
SKU-059,Product 059,24750,Sports,3,active
SKU-060,Product 060,25000,Stationery,10,active
SKU-061,Product 061,25250,Apparel,17,active
SKU-062,Product 062,25500,Home,24,active
SKU-063, Product 063 ,25750,Beauty,31,active
SKU-064,Product 064,26000,Sports,38,active
SKU-065,Product 065,26250,Stationery,4,active
SKU-066,Product 066,26500,Apparel,11,paused
SKU-067,Product 067,26750,Home,18,active
SKU-068,Product 068,27000,Beauty,25,active
SKU-069,Product 069,27250,Sports,32,active
SKU-070,Product 070,27500,Stationery,39,active
SKU-071,Product 071,27750,Apparel,5,active
SKU-072, Product 072 ,28000,Home,12,active
SKU-073,Product 073,28250,Beauty,19,active
SKU-074,Product 074,28500,Sports,26,active
SKU-075,Product 075,28750,Stationery,33,active
SKU-076,Product 076,29000,Apparel,40,active
SKU-077,Product 077,29250,Home,6,paused
SKU-078,Product 078,29500,Beauty,13,active
SKU-079,Product 079,29750,Sports,20,active
SKU-080,Product 080,30000,Stationery,27,active
SKU-081, Product 081 ,30250,Apparel,34,active
SKU-082,Product 082,30500,Home,0,active
SKU-083,Product 083,30750,Beauty,7,active
SKU-084,Product 084,31000,Sports,14,active
SKU-085,Product 085,31250,Stationery,21,active
SKU-086,Product 086,31500,Apparel,28,active
SKU-087,Product 087,31750,Home,35,active
SKU-088,Product 088,32000,Beauty,1,paused
SKU-089,Product 089,32250,Sports,8,active
SKU-090, Product 090 ,32500,Stationery,15,active
 SKU-010 ,Duplicate import 010,99999,Apparel,1,active
 SKU-020 ,Duplicate import 020,99999,Apparel,1,active
 SKU-030 ,Duplicate import 030,99999,Apparel,1,active
 SKU-040 ,Duplicate import 040,99999,Apparel,1,active
 SKU-050 ,Duplicate import 050,99999,Apparel,1,active
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
